model,domain,condition,n,solved,success_rate,mean_max_vap,median_max_vap,mean_iters,mean_first_valid_iter,mean_completion_tokens
llama8,blocksworld,baseline,20,0,0.0,17.966954416551193,9.166666666666668,4.0,,850.9
llama8,blocksworld,cot,20,0,0.0,30.850154231733182,25.0,4.0,,2023.25
llama8,citycar,baseline,20,0,0.0,9.066957271803087,5.256410256410256,3.5,,2898.5
llama8,citycar,cot,20,0,0.0,17.439824422119692,6.666666666666667,3.7,,4125.1
llama8,tetris,baseline,20,0,0.0,22.210554645072143,25.0,3.75,,3995.85
llama8,tetris,cot,20,0,0.0,19.372939560439562,22.5,3.0,,4298.3
qwen25,blocksworld,baseline,20,2,0.1,26.488546716273362,11.805555555555555,3.8,2.0,171.5
qwen25,blocksworld,cot,20,3,0.15,46.77179030120207,40.83333333333333,3.65,1.6666666666666667,424.85
qwen25,citycar,baseline,20,0,0.0,45.24683964980018,25.7985257985258,3.75,,2570.9
qwen25,citycar,cot,20,0,0.0,15.806289918344248,0.0,3.9,,1421.4
qwen25,tetris,baseline,20,0,0.0,2.6233766233766236,0.0,3.3,,1805.4
qwen25,tetris,cot,20,0,0.0,14.077904040404041,10.555555555555555,3.55,,2431.15
qwq32,blocksworld,baseline,19,1,0.05263157894736842,22.56854682104778,3.125,3.5789473684210527,2.0,8290.894736842105
qwq32,blocksworld,cot,20,2,0.1,21.23938478441567,4.446640316205533,3.5,3.0,8070.8
qwq32,citycar,baseline,15,0,0.0,18.778355531229092,0.0,3.3333333333333335,,10612.933333333332
qwq32,citycar,cot,17,1,0.058823529411764705,14.827771471996101,0.0,2.8823529411764706,3.0,11026.588235294117
qwq32,tetris,baseline,9,0,0.0,24.272486772486772,0.0,3.5555555555555554,,12198.0
qwq32,tetris,cot,11,0,0.0,45.45454545454545,0.0,3.0,,11938.181818181818
mistral24,blocksworld,baseline,20,3,0.15,34.50086804403692,19.375,3.65,1.6666666666666667,473.65
mistral24,blocksworld,cot,20,3,0.15,50.48574325141662,36.507936507936506,3.45,1.3333333333333333,4489.9
mistral24,citycar,baseline,20,0,0.0,18.132533222543366,9.339080459770116,4.0,,11902.3
mistral24,citycar,cot,20,0,0.0,14.2855670194099,10.882352941176471,3.9,,10451.15
mistral24,tetris,baseline,20,0,0.0,2.37616053587837,1.04978354978355,2.55,,4451.7
mistral24,tetris,cot,20,0,0.0,2.0408264218234233,0.4545454545454546,2.75,,6662.75
llama33,blocksworld,baseline,20,4,0.2,36.343066297036,14.835164835164836,3.7,2.5,194.1
llama33,blocksworld,cot,20,1,0.05,31.68717354315732,18.333333333333336,3.9,2.0,689.6
llama33,citycar,baseline,20,0,0.0,15.125548293586643,7.703703703703704,3.75,,1167.45
llama33,citycar,cot,20,0,0.0,6.305125430125431,4.976851851851852,3.15,,1652.35
llama33,tetris,baseline,20,0,0.0,0.0,0.0,4.0,,1274.75
llama33,tetris,cot,20,0,0.0,3.1167027417027415,0.0,1.75,,3214.8
