model,domain,baseline,cot,delta
llama8,blocksworld,17.966954416551193,30.850154231733182,12.883199815181989
llama8,citycar,9.066957271803087,17.439824422119692,8.372867150316605
llama8,tetris,22.210554645072143,19.372939560439562,-2.8376150846325814
qwen25,blocksworld,26.488546716273362,46.77179030120207,20.283243584928705
qwen25,citycar,45.24683964980018,15.806289918344248,-29.44054973145593
qwen25,tetris,2.6233766233766236,14.077904040404041,11.454527417027418
qwq32,blocksworld,22.56854682104778,21.23938478441567,-1.329162036632109
qwq32,citycar,18.778355531229092,14.827771471996101,-3.950584059232991
qwq32,tetris,24.272486772486772,45.45454545454545,21.18205868205868
mistral24,blocksworld,34.50086804403692,50.48574325141662,15.984875207379702
mistral24,citycar,18.132533222543366,14.2855670194099,-3.8469662031334657
mistral24,tetris,2.37616053587837,2.0408264218234233,-0.33533411405494684
llama33,blocksworld,36.343066297036,31.68717354315732,-4.655892753878682
llama33,citycar,15.125548293586643,6.305125430125431,-8.820422863461213
llama33,tetris,0.0,3.1167027417027415,3.1167027417027415
