domain,instance,n_cells,n_solved,mean_max_vap,solve_rate
blocksworld,instance-01,10,0,33.26633986928105,0.0
blocksworld,instance-02,10,3,45.6353046594982,0.3
blocksworld,instance-03,10,0,27.61864361129067,0.0
blocksworld,instance-04,10,5,72.0,0.5
blocksworld,instance-05,10,5,77.63888888888889,0.5
blocksworld,instance-06,10,1,27.222364308042057,0.1
blocksworld,instance-07,10,2,62.57860195360196,0.2
blocksworld,instance-08,10,0,42.86263736263736,0.0
blocksworld,instance-09,10,2,34.17272727272727,0.2
blocksworld,instance-10,10,0,20.234100458365166,0.0
blocksworld,instance-11,10,0,35.22580850522027,0.0
blocksworld,instance-12,10,0,19.70566718520439,0.0
blocksworld,instance-13,10,0,10.834066816305823,0.0
blocksworld,instance-14,10,0,5.713898008333346,0.0
blocksworld,instance-15,10,0,17.53066378066378,0.0
blocksworld,instance-16,10,0,24.063100741066844,0.0
blocksworld,instance-17,10,0,12.887960307050207,0.0
blocksworld,instance-18,10,0,27.63921740024681,0.0
blocksworld,instance-19,10,0,10.061098398169337,0.0
blocksworld,instance-20,9,1,31.8405695611578,0.1111111111111111
citycar,instance-01,10,0,22.064498367129946,0.0
citycar,instance-02,10,0,20.84901262818883,0.0
citycar,instance-03,10,0,16.274904919641763,0.0
citycar,instance-04,10,1,26.217261904761905,0.1
citycar,instance-05,10,0,22.89880264925637,0.0
citycar,instance-06,10,0,28.32309852618777,0.0
citycar,instance-07,10,0,22.449357094518383,0.0
citycar,instance-08,10,0,24.49874686716792,0.0
citycar,instance-09,10,0,8.494821683462657,0.0
citycar,instance-10,10,0,7.926984126984126,0.0
citycar,instance-11,10,0,12.261904761904763,0.0
citycar,instance-12,10,0,20.031467557783348,0.0
citycar,instance-13,10,0,9.109955728627776,0.0
citycar,instance-14,10,0,14.727564102564102,0.0
citycar,instance-15,10,0,23.321464633965252,0.0
citycar,instance-16,9,0,3.1841563786008233,0.0
citycar,instance-17,9,0,12.943792435317858,0.0
citycar,instance-18,8,0,29.28545321637427,0.0
citycar,instance-19,8,0,2.2518382352941178,0.0
citycar,instance-20,8,0,21.246603260869563,0.0
tetris,instance-01,10,0,20.047619047619047,0.0
tetris,instance-02,10,0,22.5,0.0
tetris,instance-03,10,0,6.428571428571429,0.0
tetris,instance-04,10,0,7.418498168498168,0.0
tetris,instance-05,10,0,3.86584778632185,0.0
tetris,instance-06,10,0,6.7184265010351965,0.0
tetris,instance-07,10,0,17.7,0.0
tetris,instance-08,10,0,14.27020202020202,0.0
tetris,instance-09,10,0,27.090909090909086,0.0
tetris,instance-10,9,0,15.754769921436589,0.0
tetris,instance-11,9,0,11.363636363636365,0.0
tetris,instance-12,8,0,5.45965274976469,0.0
tetris,instance-13,8,0,7.239583333333334,0.0
tetris,instance-14,8,0,0.0,0.0
tetris,instance-15,8,0,3.8247282608695654,0.0
tetris,instance-16,8,0,10.657051282051281,0.0
tetris,instance-17,8,0,10.90909090909091,0.0
tetris,instance-18,8,0,16.776664427526498,0.0
tetris,instance-19,8,0,8.712121212121213,0.0
tetris,instance-20,8,0,2.7155172413793105,0.0
