,,mean_max_vap,mean_max_vap,success_rate,success_rate,Dsuccess,Dvap
model,,qwen25,qwq32,qwen25,qwq32,qwq32-qwen25,qwq32-qwen25
domain,condition,,,,,,
basic_move,baseline,100.0,69.30555555555556,1.0,0.5,-0.5,-30.694444444444443
basic_move,cot,100.0,66.3452380952381,1.0,0.5,-0.5,-33.6547619047619
visit-all,baseline,100.0,87.5,1.0,0.8,-0.19999999999999996,-12.5
visit-all,cot,100.0,71.17582417582418,1.0,0.3,-0.7,-28.824175824175825
satellite,baseline,97.33333333333334,57.43589743589744,0.7,0.2,-0.49999999999999994,-39.897435897435905
satellite,cot,92.79166666666666,45.13513513513514,0.7,0.2,-0.49999999999999994,-47.65653153153152
blocksworld,baseline,26.488546716273362,22.56854682104778,0.1,0.05263157894736842,-0.04736842105263159,-3.9199998952255832
blocksworld,cot,46.77179030120207,21.23938478441567,0.15,0.1,-0.04999999999999999,-25.532405516786397
citycar,baseline,45.24683964980018,18.778355531229092,0.0,0.0,0.0,-26.468484118571087
citycar,cot,15.806289918344248,14.827771471996101,0.0,0.058823529411764705,0.058823529411764705,-0.9785184463481471
tetris,baseline,2.6233766233766236,24.272486772486772,0.0,0.0,0.0,21.64911014911015
tetris,cot,14.077904040404041,45.45454545454545,0.0,0.0,0.0,31.37664141414141
