model,domain,condition,n,solved,success_pct,mean_max_vap_pct,median_max_vap_pct,mean_first_valid_iter
llama8,blocksworld,baseline,20,0,0.0,18.0,9.2,
llama8,blocksworld,cot,20,0,0.0,30.9,25.0,
llama8,citycar,baseline,20,0,0.0,9.1,5.3,
llama8,citycar,cot,20,0,0.0,17.4,6.7,
llama8,tetris,baseline,20,0,0.0,22.2,25.0,
llama8,tetris,cot,20,0,0.0,19.4,22.5,
qwen25,blocksworld,baseline,20,2,10.0,26.5,11.8,2.0
qwen25,blocksworld,cot,20,3,15.0,46.8,40.8,1.67
qwen25,citycar,baseline,20,0,0.0,45.2,25.8,
qwen25,citycar,cot,20,0,0.0,15.8,0.0,
qwen25,tetris,baseline,20,0,0.0,2.6,0.0,
qwen25,tetris,cot,20,0,0.0,14.1,10.6,
qwq32,blocksworld,baseline,19,1,5.3,22.6,3.1,2.0
qwq32,blocksworld,cot,20,2,10.0,21.2,4.4,3.0
qwq32,citycar,baseline,15,0,0.0,18.8,0.0,
qwq32,citycar,cot,17,1,5.9,14.8,0.0,3.0
qwq32,tetris,baseline,9,0,0.0,24.3,0.0,
qwq32,tetris,cot,11,0,0.0,45.5,0.0,
mistral24,blocksworld,baseline,20,3,15.0,34.5,19.4,1.67
mistral24,blocksworld,cot,20,3,15.0,50.5,36.5,1.33
mistral24,citycar,baseline,20,0,0.0,18.1,9.3,
mistral24,citycar,cot,20,0,0.0,14.3,10.9,
mistral24,tetris,baseline,20,0,0.0,2.4,1.0,
mistral24,tetris,cot,20,0,0.0,2.0,0.5,
llama33,blocksworld,baseline,20,4,20.0,36.3,14.8,2.5
llama33,blocksworld,cot,20,1,5.0,31.7,18.3,2.0
llama33,citycar,baseline,20,0,0.0,15.1,7.7,
llama33,citycar,cot,20,0,0.0,6.3,5.0,
llama33,tetris,baseline,20,0,0.0,0.0,0.0,
llama33,tetris,cot,20,0,0.0,3.1,0.0,
