model,domain,condition,n,solved,success_pct,mean_max_vap_pct,median_max_vap_pct,mean_first_valid_iter
llama8,basic_move,baseline,10,9,90.0,96.2,100.0,1.0
llama8,basic_move,cot,10,10,100.0,100.0,100.0,1.1
llama8,visit-all,baseline,10,7,70.0,84.7,100.0,1.29
llama8,visit-all,cot,10,7,70.0,84.5,100.0,1.14
llama8,satellite,baseline,10,0,0.0,51.6,46.6,
llama8,satellite,cot,10,0,0.0,32.6,29.3,
llama8,blocksworld,baseline,20,0,0.0,18.0,9.2,
llama8,blocksworld,cot,20,0,0.0,30.9,25.0,
llama8,citycar,baseline,20,0,0.0,9.1,5.3,
llama8,citycar,cot,20,0,0.0,17.4,6.7,
llama8,tetris,baseline,20,0,0.0,22.2,25.0,
llama8,tetris,cot,20,0,0.0,19.4,22.5,
qwen25,basic_move,baseline,10,10,100.0,100.0,100.0,1.0
qwen25,basic_move,cot,10,10,100.0,100.0,100.0,1.0
qwen25,visit-all,baseline,10,10,100.0,100.0,100.0,1.0
qwen25,visit-all,cot,10,10,100.0,100.0,100.0,1.0
qwen25,satellite,baseline,10,7,70.0,97.3,100.0,2.29
qwen25,satellite,cot,10,7,70.0,92.8,100.0,1.43
qwen25,blocksworld,baseline,20,2,10.0,26.5,11.8,2.0
qwen25,blocksworld,cot,20,3,15.0,46.8,40.8,1.67
qwen25,citycar,baseline,20,0,0.0,45.2,25.8,
qwen25,citycar,cot,20,0,0.0,15.8,0.0,
qwen25,tetris,baseline,20,0,0.0,2.6,0.0,
qwen25,tetris,cot,20,0,0.0,14.1,10.6,
llama33,basic_move,baseline,10,10,100.0,100.0,100.0,1.0
llama33,basic_move,cot,10,10,100.0,100.0,100.0,1.1
llama33,visit-all,baseline,10,10,100.0,100.0,100.0,1.0
llama33,visit-all,cot,10,10,100.0,100.0,100.0,1.1
llama33,satellite,baseline,10,8,80.0,99.3,100.0,2.25
llama33,satellite,cot,10,8,80.0,94.7,100.0,1.5
llama33,blocksworld,baseline,20,4,20.0,36.3,14.8,2.5
llama33,blocksworld,cot,20,1,5.0,31.7,18.3,2.0
llama33,citycar,baseline,20,0,0.0,15.1,7.7,
llama33,citycar,cot,20,0,0.0,6.3,5.0,
llama33,tetris,baseline,20,0,0.0,0.0,0.0,
llama33,tetris,cot,20,0,0.0,3.1,0.0,
