instance_id,source_name,source_size_bytes,tier
instance-01,problem_010,259,easy
instance-02,problem_003,286,easy
instance-03,problem_023,298,easy
instance-04,problem_012,303,easy
instance-05,problem_019,317,easy
instance-06,problem_052,337,medium
instance-07,problem_033,340,medium
instance-08,problem_044,351,medium
instance-09,problem_045,365,medium
instance-10,problem_067,376,medium
instance-11,problem_050,379,medium
instance-12,problem_101,387,medium
instance-13,problem_088,401,hard
instance-14,problem_113,412,hard
instance-15,problem_091,415,hard
instance-16,problem_118,426,hard
instance-17,problem_095,443,hard
instance-18,problem_130,457,hard
instance-19,problem_126,471,hard
instance-20,problem_136,513,hard
