instance,plan_len,status,search,heuristic,elapsed_s
instance-01,12,ok,astar,hff,0.051
instance-02,8,ok,astar,hff,0.049
instance-03,14,ok,astar,hff,0.022
instance-04,6,ok,astar,hff,0.039
instance-05,4,ok,astar,hff,0.071
instance-06,8,ok,astar,hff,0.007
instance-07,6,ok,astar,hff,0.013
instance-08,12,ok,astar,hff,0.158
instance-09,12,ok,astar,hff,0.022
instance-10,16,ok,astar,hff,0.129
instance-11,8,ok,astar,hff,0.012
instance-12,20,ok,astar,hff,0.146
instance-13,18,ok,astar,hff,0.109
instance-14,24,ok,astar,hff,1.984
instance-15,18,ok,astar,hff,0.875
instance-16,24,ok,astar,hff,3.989
instance-17,12,ok,astar,hff,0.067
instance-18,26,ok,astar,hff,19.223
instance-19,22,ok,astar,hff,1.325
instance-20,18,ok,astar,hff,1.271
