model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
llama8,blocksworld,baseline,instance-01,1,"(pickup b1)
(pickup b2)
(pickup b4)
(putdown b4)",4,False,25.0,1,3,6.258,1305,149
llama8,blocksworld,baseline,instance-01,2,"(pickup b1)
(pickup b2)
(pickup b4)
(putdown b4)",4,False,25.0,1,3,6.784,1656,266
llama8,blocksworld,baseline,instance-01,3,"(pickup b1)
(pickup b2)
(pickup b4)
(putdown b4)",4,False,25.0,1,3,4.086,2124,157
llama8,blocksworld,baseline,instance-01,4,"(pickup b1)
(pickup b2)
(pickup b4)
(putdown b4)",4,False,25.0,1,3,4.377,2481,167
llama8,blocksworld,baseline,instance-01,1,"(pickup b1)
(pickup b2)
(pickup b4)
(putdown b4)",4,False,25.0,1,3,15.719,1305,149
llama8,blocksworld,baseline,instance-01,2,"(pickup b1)
(pickup b2)
(pickup b4)
(putdown b4)",4,False,25.0,1,3,4.326,1654,166
llama8,blocksworld,baseline,instance-01,3,"(pickup b1)
(pickup b2)
(pickup b4)
(putdown b4)",4,False,25.0,1,3,4.211,2020,159
llama8,blocksworld,baseline,instance-01,4,"(pickup b4)
(putdown b4)
(pickup b1)
(pickup b2)",4,False,25.0,1,3,4.196,2379,157
llama8,blocksworld,baseline,instance-02,1,"(pickup b2)
(putdown b2)
(pickup b4)
(putdown b4)
(pickup b1)
(pickup b3)
(pickup b2)
(pickup b2)
(putdown b2)
(pickup b4)
(putdown b4)
(pickup b1)
(pickup b3)
(pickup b2)",14,False,7.142857142857143,1,3,10.241,1313,400
llama8,blocksworld,baseline,instance-02,2,"(pickup b4)
(putdown b4)
(pickup b2)
(pickup b3)
(putdown b3)
(pickup b1)
(pickup b3)
(pickup b4)
(putdown b4)
(pickup b2)
(pickup b3)
(putdown b3)
(pickup b1)
(pickup b3)",14,False,7.142857142857143,1,3,11.917,2064,462
llama8,blocksworld,baseline,instance-02,3,"(pickup b4)
(putdown b4)
(pickup b2)
(pickup b3)
(putdown b3)
(pickup b1)
(pickup b3)
(pickup b1)
(putdown b1)
(pickup b3)
(putdown b3)
(pickup b4)
(putdown b4)
(pickup b2)
(pickup b3)
(putdown b3)
(pickup b1)
(pickup b3)
(pickup b1)
(putdown b1)
(pickup b3)
(putdown b3)",22,False,4.545454545454546,1,3,16.823,2895,654
llama8,blocksworld,baseline,instance-02,4,"(pickup b4)
(putdown b4)
(pickup b2)
(pickup b3)
(putdown b3)
(pickup b1)
(pickup b3)
(pickup b1)
(putdown b1)
(pickup b3)
(putdown b3)
(pickup b1)
(putdown b1)
(pickup b4)
(pickup b4)
(putdown b4)
(pickup b2)
(pickup b3)
(putdown b3)
(pickup b1)
(pickup b3)
(pickup b1)
(putdown b1)
(pickup b3)
(putdown b3)
(pickup b1)
(putdown b1)
(pickup b4)",28,False,3.5714285714285716,1,3,21.211,4042,815
llama8,blocksworld,baseline,instance-03,1,"(pickup b1)
(pickup b3)
(pickup b5)
(putdown b5)
(pickup b4)
(putdown b4)",6,False,16.666666666666668,1,3,5.200,1325,201
llama8,blocksworld,baseline,instance-03,2,"(pickup b2)
(pickup b1)
(pickup b3)
(pickup b5)
(putdown b5)
(pickup b4)
(putdown b4)",7,False,14.285714285714286,1,3,1.679,1613,61
llama8,blocksworld,baseline,instance-03,3,"(pickup b2)
(putdown b2)
(pickup b2)
(pickup b1)
(pickup b3)
(pickup b5)
(putdown b5)
(pickup b4)
(putdown b4)",9,False,11.11111111111111,1,3,2.029,1921,73
llama8,blocksworld,baseline,instance-03,4,"(pickup b2)
(putdown b2)
(pickup b2)
(pickup b1)
(pickup b3)
(putdown b2)
(pickup b5)
(putdown b5)
(pickup b4)
(putdown b4)",10,False,10.0,1,3,2.227,2271,79
llama8,blocksworld,baseline,instance-04,1,"(plan (pickup b1)
(pickup b2)
(putdown b4)
(pickup b1)
(pickup b3)",0,False,0.0,0,0,8.482,1318,322
llama8,blocksworld,baseline,instance-05,1,"(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)
(pickup b2)
(putdown b2)
(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)
(pickup b2)
(putdown b2)",12,False,8.333333333333334,1,3,4.251,1322,164
llama8,blocksworld,baseline,instance-05,2,"(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)
(pickup b2)
(putdown b2)
(pickup b4)
(putdown b4)
(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)
(pickup b2)
(putdown b2)
(pickup b4)
(putdown b4)",16,False,6.25,1,3,5.309,1809,203
llama8,blocksworld,baseline,instance-05,3,"(putdown b1)
(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)
(pickup b2)
(putdown b2)
(pickup b4)
(putdown b4)
(putdown b1)
(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)
(pickup b2)
(putdown b2)
(pickup b4)
(putdown b4)",18,False,5.555555555555555,1,3,6.000,2393,221
llama8,blocksworld,baseline,instance-05,4,"(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)
(pickup b2)
(putdown b2)
(pickup b4)
(putdown b4)
(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)
(pickup b2)
(putdown b2)
(pickup b4)
(putdown b4)",16,False,6.25,1,3,5.308,3026,200
llama8,blocksworld,baseline,instance-06,1,"(unstack b1 b6)
(stack b1 b6)
(unstack b2 b6)
(stack b2 b3)
(unstack b3 b1)
(stack b3 b1)
(unstack b4 b5)
(stack b4 b5)
(unstack b5 b4)
(stack b5 b4)
(unstack b6 b2)
(stack b6 b2)",12,False,8.333333333333334,1,3,7.813,1345,304
llama8,blocksworld,baseline,instance-06,2,"(pick-up b1)
(unstack b1 b6)
(stack b1 b6)
(pick-up b2)
(unstack b2 b6)
(stack b2 b3)
(pick-up b3)
(unstack b3 b1)
(stack b3 b1)
(pick-up b4)
(unstack b4 b5)
(stack b4 b5)
(pick-up b5)
(unstack b5 b4)
(stack b5 b4)
(pick-up b6)
(unstack b6 b2)
(stack b6 b2)",0,False,0.0,0,0,9.822,2007,382
llama8,blocksworld,baseline,instance-06,3,"(unstack b1 b6)
(stack b1 b6)
(pick-up b2)
(unstack b2 b6)
(stack b2 b3)
(pick-up b3)
(unstack b3 b1)
(stack b3 b1)
(pick-up b4)
(unstack b4 b5)
(stack b4 b5)
(pick-up b5)
(unstack b5 b4)
(stack b5 b4)
(pick-up b6)
(unstack b6 b2)
(stack b6 b2)",0,False,0.0,0,0,9.481,2574,369
llama8,blocksworld,baseline,instance-06,4,"(unstack b1 b6)
(put-down b1)
(pick-up b1)
(stack b1 b6)
(unstack b2 b6)
(put-down b2)
(pick-up b2)
(stack b2 b3)
(unstack b3 b1)
(put-down b3)
(pick-up b3)
(stack b3 b1)
(unstack b4 b5)
(put-down b4)
(pick-up b4)
(stack b4 b5)
(unstack b5 b4)
(put-down b5)
(pick-up b5)
(stack b5 b4)
(unstack b6 b2)
(put-down b6)
(pick-up b6)
(stack b6 b2)",0,False,0.0,0,0,11.855,3124,460
llama8,blocksworld,baseline,instance-07,1,"(pick-up b4)
(put-down b4)
(pick-up b3)
(put-down b3)
(pick-up b2)
(pick-up b3)
(put-down b3)
(pick-up b3)
(pick-up b4)
(put-down b4)
(pick-up b4)
(pick-up b5)
(put-down b5)
(pick-up b5)
(pick-up b4)
(put-down b4)
(pick-up b3)
(put-down b3)
(pick-up b2)
(pick-up b3)
(put-down b3)
(pick-up b3)
(pick-up b4)
(put-down b4)
(pick-up b4)
(pick-up b5)
(put-down b5)
(pick-up b5)",0,False,0.0,0,0,17.336,1337,689
llama8,blocksworld,baseline,instance-07,2,"(pick-up b4)
(put-down b4)
(pick-up b3)
(put-down b3)
(put-down b3)
(put-down b4)
(put-down b5)
(pick-up b4)
(put-down b4)
(pick-up b3)
(put-down b3)
(put-down b3)
(put-down b4)
(put-down b5)",0,False,0.0,0,0,14.694,2265,577
llama8,blocksworld,baseline,instance-07,3,"(pick-up b4)
(put-down b4)
(pick-up b3)
(put-down b3)
(put-down b3)
(put-down b4)
(put-down b5)
(pick-up b4)
(put-down b4)
(pick-up b3)
(put-down b3)
(put-down b3)
(put-down b4)
(put-down b5)",0,False,0.0,0,0,14.791,2999,577
llama8,blocksworld,baseline,instance-07,4,"(pick-up b4)
(put-down b4)
(pick-up b3)
(put-down b3)
(put-down b3)
(put-down b4)
(put-down b5)
(pick-up b4)
(put-down b4)
(pick-up b3)
(put-down b3)
(put-down b3)
(put-down b4)
(put-down b5)",0,False,0.0,0,0,14.807,3732,577
llama8,blocksworld,baseline,instance-08,1,"(pickup b1)
(pickup b2)
(pickup b4)
(pickup b5)
(put-down b6)",0,False,0.0,0,0,5.098,1349,198
llama8,blocksworld,baseline,instance-08,2,"(pickup b1)
(pickup b2)
(pickup b4)
(pickup b5)
(put-down b6)",0,False,0.0,0,0,5.341,1650,205
llama8,blocksworld,baseline,instance-08,3,"(pickup b1)
(pickup b2)
(pickup b4)
(pickup b5)
(put-down b6)",0,False,0.0,0,0,5.485,1958,210
llama8,blocksworld,baseline,instance-08,4,"(pickup b1)
(pickup b2)
(pickup b4)
(pickup b5)
(drop b6)",0,False,0.0,0,0,5.420,2269,208
