model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
llama8,blocksworld,cot,instance-01,1,"(pick-up b2)
(put-down b4)
(pick-up b1)
(put-down b1)
(put-down b2)",0,False,0.0,0,0,22.317,1401,460
llama8,blocksworld,cot,instance-01,2,"(pick-up b2)
(put-down b4)
(pick-up b1)
(put-down b1)
(put-down b2)",0,False,0.0,0,0,1.729,1564,61
llama8,blocksworld,cot,instance-01,3,"(pick-up b2)
(put-down b4)
(pick-up b1)
(put-down b1)
(put-down b2)",0,False,0.0,0,0,1.745,1727,61
llama8,blocksworld,cot,instance-01,4,"(pick-up b2)
(put-down b4)
(pick-up b1)
(put-down b1)
(put-down b2)",0,False,0.0,0,0,1.909,1891,68
llama8,blocksworld,cot,instance-02,1,"(pick-up b1)
(pick-up b3)
(put-down b2)
(pick-up b2)
(put-down b4)",0,False,0.0,0,0,12.133,1409,469
llama8,blocksworld,cot,instance-02,2,"(pick-up b1)
(pick-up b3)
(put-down b2)
(pick-up b2)
(put-down b4)",0,False,0.0,0,0,1.581,1568,56
llama8,blocksworld,cot,instance-02,3,"(pick-up b1)
(pick-up b3)
(put-down b2)
(pick-up b2)
(put-down b4)",0,False,0.0,0,0,1.771,1727,62
llama8,blocksworld,cot,instance-02,4,"(pick-up b1)
(pick-up b3)
(put-down b2)
(pick-up b2)
(put-down b4)
(put-down b3)",0,False,0.0,0,0,1.924,1892,68
llama8,blocksworld,cot,instance-03,1,"(pick-up b1)
(pick-up b3)
(pick-up b4)
(pick-up b5)
(put-down b4)
(put-down b5)
(put-down b3)
(put-down b1)",0,False,0.0,0,0,20.318,1421,787
llama8,blocksworld,cot,instance-03,2,"(pick-up b1)
(pick-up b3)
(pick-up b4)
(pick-up b5)
(put-down b4)
(put-down b5)
(put-down b3)
(put-down b1)",0,False,0.0,0,0,2.553,1634,94
