(move_car_in_road junction0-2 junction3-2 road5)
(build_straight_oneway junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
(move_car_in_road junction0-3 junction3-0 road6)
