(at_two straight0 f1-0f f1-1f)
(at_two straight1 f2-0f f2-1f)
(move_square f0-0f f4-0f square0)
(move_square f0-1f f4-1f square1)
(move_square f0-2f f4-2f square2)
(move_square f0-3f f4-3f square3)
(move_two f1-0f f1-1f f4-0f straight0)
(move_square f7-0f f4-0f square0)
(move_square f7-1f f4-1f square1)
(move_square f7-2f f4-2f square2)
(move_square f7-3f f4-3f square3)
(move_square f8-0f f4-0f square0)
(move_square f8-1f f4-1f square1)
(move_square f8-2f f4-2f square2)
(move_square f8-3f f4-3f square3)
(move_square f9-0f f4-0f square0)
(move_square f9-1f f4-1f square1)
(move_square f9-2f f4-2f square2)
(move_square f9-3f f4-3f square3)
(move_square f10-0f f4-0f square0)
(move_square f10-1f f4-1f square1)
(move_square f10-2f f4-2f square2)
(move_square f10-3f f4-3f square3)
(move_square f11-0f f4-0f square0)
(move_square f11-1f f4-1f square1)
(move_square f11-2f f4-2f square2)
(move_square f11-3f f4-3f square3)
