model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
qwen25,blocksworld,baseline,instance-01,1,"(pickup b2)
(putdown b2)
(pickup b4)
(putdown b4)
(pickup b1)
(pickup b2)
(putdown b2)",7,False,14.285714285714286,1,3,16.288,1284,67
qwen25,blocksworld,baseline,instance-01,2,"(putdown b2)
(putdown b3)
(pickup b1)
(pickup b2)
(pickup b3)
(pickup b4)
(putdown b4)",7,False,14.285714285714286,1,3,5.535,1599,74
qwen25,blocksworld,baseline,instance-01,3,"(putdown b2)
(putdown b3)
(pickup b1)
(pickup b2)
(pickup b3)
(pickup b4)
(putdown b4)",7,False,14.285714285714286,1,3,5.696,1920,74
qwen25,blocksworld,baseline,instance-01,4,"(putdown b2)
(putdown b3)
(pickup b1)
(pickup b2)
(pickup b3)
(pickup b4)
(putdown b4)",7,False,14.285714285714286,1,3,5.873,2239,74
qwen25,blocksworld,baseline,instance-02,1,"(pickup b1)
(putdown b1)
(putdown b2)
(pickup b3)",4,False,75.0,3,3,3.746,1291,50
qwen25,blocksworld,baseline,instance-02,2,"(putdown b2)
(putdown b4)
(pickup b1)
(pickup b3)",4,False,25.0,1,3,3.904,1607,50
qwen25,blocksworld,baseline,instance-02,3,"(putdown b2)
(putdown b4)
(pickup b1)
(pickup b3)",4,False,25.0,1,3,4.014,1861,50
qwen25,blocksworld,baseline,instance-02,4,"(putdown b2)
(putdown b4)
(pickup b1)
(pickup b3)",4,False,25.0,1,3,4.133,2113,50
qwen25,blocksworld,baseline,instance-03,1,"(pickup b1)
(putdown b1)
(putdown b3)
(pickup b1)
(pickup b3)",5,False,20.0,1,3,4.552,1304,62
qwen25,blocksworld,baseline,instance-03,2,"(putdown b1)
(putdown b3)
(putdown b4)
(pickup b1)
(pickup b3)
(pickup b4)
(putdown b4)",7,False,14.285714285714286,1,3,5.598,1582,75
qwen25,blocksworld,baseline,instance-03,3,"(putdown b1)
(putdown b3)
(putdown b4)
(pickup b1)
(pickup b3)
(pickup b4)
(putdown b4)",7,False,14.285714285714286,1,3,5.763,1904,75
qwen25,blocksworld,baseline,instance-03,4,"(putdown b1)
(putdown b3)
(putdown b4)
(pickup b1)
(pickup b3)
(pickup b4)
(putdown b4)",7,False,14.285714285714286,1,3,5.937,2224,75
qwen25,blocksworld,baseline,instance-04,1,"(putdown b1)
(pickup b3)
(pickup b1)
(putdown b1)",4,False,25.0,1,3,2.878,1298,37
qwen25,blocksworld,baseline,instance-04,2,"(putdown b1)
(pickup b3)
(pickup b1)
(putdown b1)",4,False,25.0,1,3,3.001,1537,37
qwen25,blocksworld,baseline,instance-04,3,"(putdown b1)
(pickup b3)
(pickup b1)
(putdown b1)",4,False,25.0,1,3,3.071,1776,37
qwen25,blocksworld,baseline,instance-04,4,"(putdown b1)
(pickup b3)
(pickup b1)
(putdown b1)",4,False,25.0,1,3,3.172,2013,37
qwen25,blocksworld,baseline,instance-05,1,"(putdown b1)
(pickup b4)
(pickup b1)
(putdown b1)",4,False,25.0,1,3,2.880,1302,37
qwen25,blocksworld,baseline,instance-05,2,"(putdown b1)
(pickup b4)
(pickup b1)
(putdown b1)",4,False,25.0,1,3,3.002,1539,37
qwen25,blocksworld,baseline,instance-05,3,"(putdown b1)
(pickup b4)
(pickup b1)
(putdown b1)",4,False,25.0,1,3,3.072,1780,37
qwen25,blocksworld,baseline,instance-05,4,"(putdown b1)
(pickup b4)
(pickup b1)
(putdown b1)",4,False,25.0,1,3,3.172,2017,37
qwen25,blocksworld,baseline,instance-06,1,"(pickup b3)
(putdown b3)
(pickup b2)
(pickup b6)
(pickup b2)",5,False,20.0,1,3,4.090,1324,55
qwen25,blocksworld,baseline,instance-06,2,"(pickup b3)
(putdown b3)
(pickup b2)
(pickup b6)
(pickup b2)",5,False,20.0,1,3,4.240,1595,55
qwen25,blocksworld,baseline,instance-06,3,"(pickup b3)
(putdown b3)
(pickup b2)
(pickup b6)
(pickup b2)",5,False,20.0,1,3,4.361,1866,55
qwen25,blocksworld,baseline,instance-06,4,"(pickup b2)
(pickup b6)
(pickup b2)
(putdown b3)",4,False,25.0,1,3,4.559,2139,56
qwen25,blocksworld,baseline,instance-07,1,"(putdown b1)
(putdown b5)
(pickup b3)
(pickup b5)
(putdown b5)
(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)",9,False,11.11111111111111,1,3,5.832,1316,81
qwen25,blocksworld,baseline,instance-07,2,"(putdown b1)
(putdown b5)
(pickup b3)
(pickup b5)
(putdown b5)
(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)",9,False,11.11111111111111,1,3,6.060,1672,81
qwen25,blocksworld,baseline,instance-07,3,"(putdown b1)
(putdown b5)
(pickup b3)
(pickup b5)
(putdown b5)
(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)",9,False,11.11111111111111,1,3,6.248,2028,81
qwen25,blocksworld,baseline,instance-07,4,"(putdown b1)
(putdown b5)
(pickup b3)
(pickup b5)
(putdown b5)
(pickup b1)
(putdown b1)
(pickup b4)
(putdown b4)",9,False,11.11111111111111,1,3,6.473,2390,81
qwen25,blocksworld,baseline,instance-08,1,"(pickup b1)
(pickup b4)
(pickup b5)",3,False,66.66666666666667,2,3,4.091,1328,55
qwen25,blocksworld,baseline,instance-08,2,"(pickup b1)
(pickup b4)
(pickup b5)",3,False,66.66666666666667,2,3,4.247,1619,55
qwen25,blocksworld,baseline,instance-08,3,"(pickup b1)
(pickup b4)
(pickup b5)
(pickup b6)",4,False,50.0,2,3,4.793,1914,61
qwen25,blocksworld,baseline,instance-08,4,"(pickup b1)
(pickup b4)
(pickup b5)
(pickup b6)",4,False,50.0,2,3,4.949,2226,61
qwen25,blocksworld,baseline,instance-09,1,"(pickup b6)
(putdown b5)
(putdown b6)
(pickup b1)
(pickup b5)
(pickup b4)",6,False,16.666666666666668,1,3,5.841,1332,81
