model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
qwen25,blocksworld,cot,instance-01,1,"(pickup b1)
(pickup b2)
(putdown b4)",3,False,33.333333333333336,1,3,34.598,1380,336
qwen25,blocksworld,cot,instance-01,2,"(pickup b1)
(pickup b2)
(putdown b4)",3,False,33.333333333333336,1,3,3.025,1604,37
qwen25,blocksworld,cot,instance-01,3,"(pickup b1)
(pickup b2)
(putdown b4)",3,False,33.333333333333336,1,3,3.116,1832,37
qwen25,blocksworld,cot,instance-01,4,"(pickup b1)
(pickup b2)
(putdown b4)",3,False,33.333333333333336,1,3,15.528,2058,212
qwen25,blocksworld,cot,instance-02,1,"(pickup b4)
(putdown b4)
(pickup b3)
(pickup b1)",4,False,25.0,1,3,25.964,1387,376
qwen25,blocksworld,cot,instance-02,2,"(pickup b4)
(putdown b4)
(pickup b3)
(pickup b1)",4,False,25.0,1,3,3.448,1651,43
qwen25,blocksworld,cot,instance-02,3,"(putdown b2)
(pickup b4)
(putdown b4)
(pickup b3)
(pickup b1)",5,False,20.0,1,3,3.970,1913,49
qwen25,blocksworld,cot,instance-02,4,"(pickup b4)
(putdown b4)
(pickup b3)
(pickup b1)
(putdown b2)",5,False,20.0,1,3,4.098,2179,49
qwen25,blocksworld,cot,instance-03,1,"(pickup b5)
(putdown b5)
(pickup b4)
(putdown b4)
(pickup b3)
(pickup b1)
(pickup b2)",7,False,14.285714285714286,1,3,21.860,1400,316
qwen25,blocksworld,cot,instance-03,2,"(pickup b5)
(putdown b5)
(pickup b4)
(putdown b4)
(pickup b3)
(pickup b1)
(pickup b2)",7,False,14.285714285714286,1,3,5.136,1737,67
qwen25,blocksworld,cot,instance-03,3,"(putdown b1)
(pickup b5)
(putdown b5)
(pickup b4)
(putdown b4)
(pickup b3)
(pickup b1)
(pickup b2)",8,False,12.5,1,3,5.740,2072,73
qwen25,blocksworld,cot,instance-03,4,"(pickup b5)
(putdown b5)
(pickup b4)
(putdown b4)
(pickup b3)
(pickup b1)
(pickup b2)",7,False,14.285714285714286,1,3,5.492,2405,67
qwen25,blocksworld,cot,instance-04,1,"(putdown b3)
(putdown b1)
(pickup b3)",3,False,33.333333333333336,1,3,23.424,1394,339
qwen25,blocksworld,cot,instance-04,2,"(putdown b3)
(putdown b1)
(pickup b3)",3,False,33.333333333333336,1,3,3.095,1621,38
qwen25,blocksworld,cot,instance-04,3,"(putdown b3)
(putdown b1)
(pickup b3)",3,False,33.333333333333336,1,3,3.190,1850,38
qwen25,blocksworld,cot,instance-04,4,"(putdown b3)
(putdown b1)
(pickup b3)",3,False,33.333333333333336,1,3,3.286,2073,38
qwen25,blocksworld,cot,instance-05,1,"(pickup b4)
(putdown b1)",2,False,100.0,2,3,22.610,1398,327
qwen25,blocksworld,cot,instance-05,2,"(pickup b4)
(pickup b1)
(putdown b1)",3,False,66.66666666666667,2,3,2.619,1625,31
qwen25,blocksworld,cot,instance-05,3,"(pickup b4)
(pickup b1)
(putdown b1)",3,False,66.66666666666667,2,3,2.714,1893,31
qwen25,blocksworld,cot,instance-05,4,"(pickup b4)
(pickup b1)
(putdown b1)",3,False,66.66666666666667,2,3,2.813,2161,31
qwen25,blocksworld,cot,instance-06,1,"(putdown b5)
(pickup b6)",2,False,50.0,1,3,21.151,1420,305
qwen25,blocksworld,cot,instance-06,2,"(putdown b5)
(pickup b6)",2,False,50.0,1,3,3.991,1645,51
qwen25,blocksworld,cot,instance-06,3,"(putdown b5)
(pickup b6)",2,False,50.0,1,3,4.094,1866,51
qwen25,blocksworld,cot,instance-06,4,"(putdown b5)
(pickup b6)",2,False,50.0,1,3,20.725,2089,285
qwen25,blocksworld,cot,instance-07,1,"(putdown b1)
(putdown b5)
(putdown b3)",3,False,33.333333333333336,1,3,17.993,1412,259
qwen25,blocksworld,cot,instance-07,2,"(putdown b1)
(putdown b5)
(putdown b3)",3,False,33.333333333333336,1,3,3.581,1646,45
qwen25,blocksworld,cot,instance-07,3,"(putdown b1)
(putdown b5)
(putdown b3)",3,False,33.333333333333336,1,3,3.680,1876,45
qwen25,blocksworld,cot,instance-07,4,"(putdown b1)
(putdown b5)
(putdown b3)",3,False,33.333333333333336,1,3,3.787,2110,45
qwen25,blocksworld,cot,instance-08,1,"(pickup b1)
(pickup b3)",2,False,100.0,2,3,34.946,1424,505
qwen25,blocksworld,cot,instance-08,2,"(pickup b1)
(pickup b3)",2,False,100.0,2,3,4.841,1688,63
qwen25,blocksworld,cot,instance-08,3,"(pickup b1)
(pickup b3)",2,False,100.0,2,3,4.977,1958,63
qwen25,blocksworld,cot,instance-08,4,"(pickup b1)
(put-down b3)
(pickup b3)",0,False,0.0,0,0,5.525,2222,69
