(move_car_in_road junction0-3 junction1-3 car1 road0)
(move_car_in_road junction1-3 junction2-3 car1 road1)
(move_car_out_road junction2-3 junction2-2 car1 road3)
(move_car_out_road junction2-2 junction3-1 car1 road4)
(car_arrived junction3-1 car1)
(diagonal junction0-0 junction1-1)
(diagonal junction0-1 junction1-0)
(diagonal junction0-1 junction1-2)
(diagonal junction0-2 junction1-1)
(diagonal junction0-2 junction1-3)
(diagonal junction0-3 junction1-2)
(diagonal junction1-0 junction0-1)
(diagonal junction1-0 junction2-1)
(diagonal junction1-1 junction0-0)
(diagonal junction1-1 junction0-2)
(diagonal junction1-1 junction2-0)
(diagonal junction1-1 junction2-2)
(diagonal junction1-2 junction0-1)
(diagonal junction1-2 junction0-3)
(diagonal junction1-2 junction2-1)
(diagonal junction1-3 junction0-2)
(diagonal junction1-3 junction2-2)
(diagonal junction2-0 junction1-1)
(diagonal junction2-0 junction3-1)
(diagonal junction2-1 junction1-0)
(diagonal junction2-1 junction1-2)
(diagonal junction2-1 junction3-0)
(diagonal junction2-1 junction3-2)
(diagonal junction2-2 junction1-1)
(diagonal junction2-2 junction1-3)
(diagonal junction2-2 junction3-1)
(diagonal junction2-2 junction3-3)
(diagonal junction2-3 junction1-2)
(diagonal junction2-3 junction3-2)
(diagonal junction3-0 junction2-1)
(diagonal junction3-1 junction2-0)
(diagonal junction3-1 junction2-2)
(diagonal junction3-2 junction2-1)
(diagonal junction3-2 junction2-3)
(diagonal junction3-3 junction2-2)
(starting car0 garage2)
(starting car1 garage2)
(diagonal junction0-0 junction1-1)
(diagonal junction0-1 junction1-0)
(diagonal junction0-1 junction1-2)
(diagonal junction0-2 junction1-1)
(diagonal junction0-2 junction1-3)
(diagonal junction0-3 junction1-2)
(diagonal junction1-0 junction0-1)
(diagonal junction1-0 junction2-1)
(diagonal junction1-1 junction0-0)
(diagonal junction1-1 junction0-2)
(diagonal junction1-1 junction2-0)
(diagonal junction1-1 junction2-2)
(diagonal junction1-2 junction0-1)
(diagonal junction1-2 junction0-3)
(diagonal junction1-2 junction2-1)
(diagonal junction1-3 junction0-2)
(diagonal junction1-3 junction2-2)
(diagonal junction2-0 junction1-1)
(diagonal junction2-0 junction3-1)
(diagonal junction2-1 junction1-0)
(diagonal junction2-1 junction1-2)
(diagonal junction2-1 junction3-0)
(diagonal junction2-1 junction3-2)
(diagonal junction2-2 junction1-1)
(diagonal junction2-2 junction1-3)
(diagonal junction2-2 junction3-1)
(diagonal junction2-2 junction3-3)
(diagonal junction2-3 junction1-2)
(diagonal junction2-3 junction3-2)
(diagonal junction3-0 junction2-1)
(diagonal junction3-1 junction2-0)
(diagonal junction3-1 junction2-2)
(diagonal junction3-2 junction2-1)
(diagonal junction3-2 junction2-3)
(diagonal junction3-3 junction2-2)
(in_place road0)
(starting car0 garage2)
(starting car1 garage2)
(diagonal junction0-0 junction1-1)
(diagonal junction0-1 junction1-0)
(diagonal junction0-1 junction1-2)
(diagonal junction0-2 junction1-1)
(diagonal junction0-2 junction1-3)
(diagonal junction0-3 junction1-2)
(diagonal junction1-0 junction0-1)
(diagonal junction1-0 junction2-1)
(diagonal junction1-1 junction0-0)
(diagonal junction1-1 junction0-2)
(diagonal junction1-1 junction2-0)
(diagonal junction1-1 junction2-2)
(diagonal junction1-2 junction0-1)
(diagonal junction1-2 junction0-3)
(diagonal junction1-2 junction2-1)
(diagonal junction1-3 junction0-2)
(diagonal junction1-3 junction2-2)
(diagonal junction2-0 junction1-1)
(diagonal junction2-0 junction3-1)
(diagonal junction2-1 junction1-0)
(diagonal junction2-1 junction1-2)
(diagonal junction2-1 junction3-0)
(diagonal junction2-1 junction3-2)
(diagonal junction2-2 junction1-1)
(diagonal junction2-2 junction1-3)
(diagonal junction2-2 junction3-1)
(diagonal junction2-2 junction3-3)
(diagonal junction2-3 junction1-2)
(diagonal junction2-3 junction3-2)
(diagonal junction3-0 junction2-1)
(diagonal junction3-1 junction2-0)
(diagonal junction3-1 junction2-2)
(diagonal junction3-2 junction2-1)
(diagonal junction3-2 junction2-3)
(diagonal junction3-3 junction2-2)
(in_place road0)
(in_place road1)
(starting car0 garage2)
(starting car1 garage2)
